title,artist,synonyms,tags,link
라일락,아이유,LILAC,kor,https://www.youtube.com/watch?v=LofDJZWLzg4
Lemon,요네즈 켄시,레몬,jap,
바다의 유령,요네즈 켄시,Spirit of the Sea|Umi no Yuurei|海の幽霊,jap,
아로하,쿨,aroha,kor,
한 페이지가 될 수 있게,DAY6,time of our life,kor,
예뻤어,DAY6,you were beautiful,kor,
다이너마이트,방탄소년단,dynamite,kor,
신호등,이무진,traffic light,kor,
Love Lee,악뮤,러브리,kor,
밤양갱,비비,bam yang gang,kor,
그대에게,신해철,to you,kor,
Stay,"The Kid LAROI, Justin Bieber",스테이,eng,
Sugar,Maroon 5,슈가,eng,
기억의 습작,김동률,memory sketch,kor,
다시 사랑한다 말할까,김동률,should i say i love you again,kor,
인형의 꿈,러브홀릭,doll's dream,kor,
blue,yung kai,블루,eng,
어디에도,MC the Max,No matter where,kor,
스토커,10CM,Stalker,kor,
너에게 닿기를,10CM,,kor,
아무것도 아니야,RADWIMPS,Nandemonaiya|なんでもないや,jap,
Sparkle,RADWIMPS,스파클,jap,
전전전세,RADWIMPS,Zenzenzense|前前前世,jap,
pretender,official髭男dism,프리텐더,jap,
벚꽃엔딩,버스커 버스커,cherry blossom ending,kor,
꽃송이가,버스커 버스커,The Flower,kor,
여수밤바다,버스커 버스커,,kor,https://www.youtube.com/watch?v=K2MFPTekyMM
눈사람,정승환,,kor,
밤편지,아이유,night letter,kor,
너였다면,정승환,,kor,
좋니,윤종신,,kor,
좋은날,아이유,good day,kor,
Endless Rain,X Japan,엔들리스 레인,jap,
NO PAIN,실리카겔,노 페인,kor,
Dry Flower,Yuuri,dried flower|드라이플라워,jap,
멸종위기사랑,이찬혁,endangered love,kor,
만찬가,tuki,bansanka,jap,
실루엣,KANABOON,silhouette,jap,
우리의 꿈,코요테,,kor,
I Really Wanna Stay At Your House,Samuel Kim,,jap,
눈의 꽃,박효신,Flower of Snow,kor,
야생화,박효신,wildflower,kor,
홍련화,LiSA,gurenge,jap,
잔향산가,Aimer,Zankyousanka,jap,
Last Stardust,Aimer,,jap,
You,dai,,jap,
안아줘,정준일,Hug Me,kor,
사무라이 하트,SPYAIR,Some Like It Hot,jap,
아이돌,YOASOBI,Idol,jap,
밤을 달리다,YOASOBI,Yoru ni Kakeru|Run into the Night,jap,
군청,YOASOBI,gunjoh,jap,
꽃의 망령,요루시카,ghost in a flower,jap,
그저 네게 맑아라,요루시카,Cloudless,jap,
봄도둑,요루시카,Spring Thief,jap,
무희,Vaundy,Odoriko,jap,
괴수의 꽃노래,Vaundy,Kaiju no Hanauta,jap,
너에게 난 나에게 넌,자전거 탄 풍경,,kor,
서쪽하늘,이승철,,kor,
어떤가요,박화요비,,kor,
그런일은,박화요비,,kor,
